P-P type	HMM profile ID	Protein representative ID	P-P score	P-P type score	Sequence score threshold	Neff value	geNomad hit	geNomad annotation	pident (geNomad)	evalue (geNomad)	bitscore (geNomad)	PHROGs hit	PHROGs Annotation	Protein category (PHROGs)	evalue (PHROGs)	cov_profile (PHROGs)	Rep/Par hit	evalue (Rep/Par)	cov_profile (Rep/Par)
pCAV	pCAV_pers_JN237_RS26870	JN237_RS26870	1	1	371.5	1.1	GENOMAD.153294.VP	Holliday junction resolvasome RuvABC endonuclease subunit	0.569	1.174e-58	202	phrog_159	RuvC-like Holliday junction resolvase	DNA, RNA and nucleotide metabolism	1.3e-42	0.564	NA	NA	NA
pCAV	pCAV_pers_JN237_RS26880	JN237_RS26880	1	1	1437.2	1.1	GENOMAD.121080.VC	DNA repair exonuclease SbcCD ATPase subunit	0.156	2.719e-13	76	phrog_77	SbcC-like subunit of palindrome specific endonuclease	DNA, RNA and nucleotide metabolism	1.4e-146	0.659	NA	NA	NA
pCAV	pCAV_pers_JN237_RS26885	JN237_RS26885	1	1	829	1.1	GENOMAD.220361.VP	DNA repair exonuclease SbcCD nuclease subunit	0.724	2.014e-87	294	NA	NA	NA	NA	NA	NA	NA	NA
pCAV	pCAV_pers_JN237_RS26895	JN237_RS26895	1	0.923	788.1	1.1	GENOMAD.132605.PV	TrfA protein	0.481	7.841e-73	252	phrog_775	replication helicase	DNA, RNA and nucleotide metabolism	4.799999999999999e-133	0.952	Rep_3	3.2e-28	1.194
pKpn	pKpn_pers_A7321_RS26840	A7321_RS26840	0.977	0.977	596.7	1.1	GENOMAD.224271.VP	NA	0.742	1.356e-126	402	NA	NA	NA	NA	NA	NA	NA	NA
pKpn	pKpn_pers_AFK64_RS20260	AFK64_RS20260	0.959	0.686	755.8	1	GENOMAD.132605.PV	TrfA protein	0.455	2.677e-75	259	phrog_775	replication helicase	DNA, RNA and nucleotide metabolism	1.8e-134	1.017	Rep_3	8.000000000000001e-28	1.194
pKpn	pKpn_pers_AFK64_RS20435	AFK64_RS20435	0.975	0.839	153.5	1.1	GENOMAD.225460.VP	NA	0.96	2.725e-42	148	NA	NA	NA	NA	NA	NA	NA	NA
pKpn	pKpn_pers_AM277_RS28445	AM277_RS28445	0.978	0.475	718.6	1	GENOMAD.218988.VP	T4 RNase H, C terminal	0.937	3.747e-76	259	phrog_107	exonuclease	DNA, RNA and nucleotide metabolism	9.3e-68	0.576	NA	NA	NA
pKpn	pKpn_pers_AM376_RS01765	AM376_RS01765	0.977	0.977	297.7	1	GENOMAD.223376.VP	Phosphatidate phosphatase APP1, catalytic domain	0.894	2.073e-74	244	NA	NA	NA	NA	NA	NA	NA	NA
pKpn	pKpn_pers_BJP61_RS20835	BJP61_RS20835	0.989	0.462	174.3	1.1	GENOMAD.221585.VP	DNA-binding transcriptional regulator, PadR family	0.647	4.429e-30	114	NA	NA	NA	NA	NA	NA	NA	NA
pKpn	pKpn_pers_CLQ46_RS01135	CLQ46_RS01135	0.968	0.674	247.6	1	GENOMAD.224628.VP	NA	0.947	3.238e-56	191	NA	NA	NA	NA	NA	NA	NA	NA
pKpn	pKpn_pers_CLQ46_RS01200	CLQ46_RS01200	0.989	0.368	158.5	1.1	GENOMAD.192874.VP	NA	0.69	5.218e-31	116	NA	NA	NA	NA	NA	NA	NA	NA
pKpn	pKpn_pers_CLQ46_RS01510	CLQ46_RS01510	0.978	0.978	536.5	1.1	GENOMAD.224162.VP	NA	0.879	2.971e-145	455	NA	NA	NA	NA	NA	NA	NA	NA
pKpn	pKpn_pers_EHF42_RS28355	EHF42_RS28355	0.989	0.977	3340.8	1.1	GENOMAD.178476.VP	NA	0.802	1.612e-239	788	phrog_1292	tail length tape measure protein	tail	0	0.993	NA	NA	NA
pKpn	pKpn_pers_EX353_RS30585	EX353_RS30585	0.978	0.581	617.2	1.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
pKpn	pKpn_pers_EX353_RS30615	EX353_RS30615	0.978	0.592	378.7	1.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
pKpn	pKpn_pers_F8D37_RS27445	F8D37_RS27445	0.989	0.505	498.7	1.1	GENOMAD.132619.VP	NA	0.525	7.95e-44	162	phrog_1280	Ig domain containing protein	other	2.7e-153	0.996	NA	NA	NA
pKpn	pKpn_pers_FDK24_RS29335	FDK24_RS29335	0.978	0.464	303.6	1.1	GENOMAD.132229.VP	Recombination, repair and ssDNA binding protein UvsY	0.635	2.822e-52	181	phrog_231	UvsY-like recombination mediator	DNA, RNA and nucleotide metabolism	5.9e-5	0.824	NA	NA	NA
pKpn	pKpn_pers_FDK24_RS29510	FDK24_RS29510	0.978	0.431	203.2	1.1	GENOMAD.219539.VP	NA	0.859	3.499e-57	193	NA	NA	NA	NA	NA	NA	NA	NA
pKpn	pKpn_pers_FFY44_RS28145	FFY44_RS28145	0.989	0.379	224.8	1.1	GENOMAD.142618.VP	Phage-related protein	0.443	1.438e-20	88	NA	NA	NA	NA	NA	NA	NA	NA
pKpn	pKpn_pers_FGF03_RS31290	FGF03_RS31290	0.975	0.963	141.3	1.1	GENOMAD.225763.VP	NA	0.965	4.03e-32	118	NA	NA	NA	NA	NA	NA	NA	NA
pKpn	pKpn_pers_FOB37_RS01505	FOB37_RS01505	0.989	0.371	581.3	1.1	GENOMAD.179799.VP	NA	0.624	8.053e-105	340	NA	NA	NA	NA	NA	NA	NA	NA
pKpn	pKpn_pers_FOB39_RS26565	FOB39_RS26565	0.989	0.479	438.9	1.1	GENOMAD.195594.VP	Transposase	0.583	5.608e-78	259	phrog_867	DNA binding domain	DNA, RNA and nucleotide metabolism	1.2e-103	0.964	NA	NA	NA
pKpn	pKpn_pers_FOM15_RS27370	FOM15_RS27370	0.979	0.5	715.5	1.1	GENOMAD.106654.VP	gp32 DNA binding protein like	0.408	6.414e-69	239	phrog_1192	single strand DNA binding protein	DNA, RNA and nucleotide metabolism	5e-117	1.021	NA	NA	NA
pKpn	pKpn_pers_FOM15_RS27550	FOM15_RS27550	0.986	0.986	433.3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
pKpn	pKpn_pers_FOM15_RS27725	FOM15_RS27725	0.989	0.464	280.2	1.1	GENOMAD.171885.VP	NA	0.615	9.928e-56	191	NA	NA	NA	NA	NA	NA	NA	NA
pKpn	pKpn_pers_GM011_RS26955	GM011_RS26955	0.978	0.481	886.7	1.1	GENOMAD.141497.VP	replicative DNA helicase	0.211	4.276e-22	103	phrog_19	DnaB-like replicative helicase	DNA, RNA and nucleotide metabolism	5.7e-91	0.702	NA	NA	NA
pKpn	pKpn_pers_GM011_RS27120	GM011_RS27120	0.989	0.363	449.6	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
pKpn	pKpn_pers_GM011_RS27465	GM011_RS27465	0.968	0.464	461.3	1	GENOMAD.223168.VP	NA	0.878	1.953e-125	396	NA	NA	NA	NA	NA	NA	NA	NA
pKpn	pKpn_pers_GQY16_RS27275	GQY16_RS27275	0.989	0.428	796.4	1.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
pKpn	pKpn_pers_GQY16_RS27770	GQY16_RS27770	0.974	0.569	374	1.1	GENOMAD.224227.VP	Repressor of phase-1 flagellin	0.921	3.628e-107	341	phrog_1444	transcriptional repressor	transcription regulation	2.6e-104	0.989	NA	NA	NA
pKpn	pKpn_pers_GQY16_RS27935	GQY16_RS27935	0.978	0.645	417.6	1	GENOMAD.153294.VP	Holliday junction resolvasome RuvABC endonuclease subunit	0.654	6.202e-74	246	phrog_159	RuvC-like Holliday junction resolvase	DNA, RNA and nucleotide metabolism	7.5e-60	0.564	NA	NA	NA
pKpn	pKpn_pers_GQY17_RS27325	GQY17_RS27325	0.978	0.36	722.5	1.1	GENOMAD.220361.VP	DNA repair exonuclease SbcCD nuclease subunit	0.852	1.823e-108	355	NA	NA	NA	NA	NA	NA	NA	NA
pKpn	pKpn_pers_GUY22_RS28045	GUY22_RS28045	0.978	0.438	500.1	1.1	GENOMAD.205356.VP	NA	0.327	5.692e-28	115	NA	NA	NA	NA	NA	NA	NA	NA
pKpn	pKpn_pers_GUY22_RS28230	GUY22_RS28230	0.979	0.465	178	1.1	GENOMAD.224297.VP	NA	0.9	6.905e-49	168	NA	NA	NA	NA	NA	NA	NA	NA
pKpn	pKpn_pers_GUY22_RS28585	GUY22_RS28585	0.989	0.395	246.5	1	GENOMAD.180831.VP	Minor capsid protein	0.647	2.194e-41	148	NA	NA	NA	NA	NA	NA	NA	NA
pKpn	pKpn_pers_H1D29_RS01055	H1D29_RS01055	0.978	0.833	543.5	1.1	GENOMAD.222634.VP	NA	0.811	2.331e-127	403	NA	NA	NA	NA	NA	NA	NA	NA
pKpn	pKpn_pers_H1D29_RS01375	H1D29_RS01375	0.974	0.974	311.7	1	GENOMAD.223588.VP	NA	0.87	2.268e-77	253	NA	NA	NA	NA	NA	NA	NA	NA
pKpn	pKpn_pers_HB636_RS28290	HB636_RS28290	0.974	0.595	279.4	1	GENOMAD.224247.VP	Uncharacterized conserved protein, tellurite resistance protein B (TerB) family	0.875	2.054e-79	259	phrog_632	tellurite resistance	moron, auxiliary metabolic gene and host takeover	3.5e-66	0.986	NA	NA	NA
pKpn	pKpn_pers_HB636_RS28475	HB636_RS28475	0.979	0.484	277	1.2	GENOMAD.224989.VP	NA	0.925	5.678e-85	275	NA	NA	NA	NA	NA	NA	NA	NA
pKpn	pKpn_pers_HB786_RS28080	HB786_RS28080	0.989	0.364	952	1	GENOMAD.124421.VP	NA	0.31	2.308e-51	191	phrog_10250	terminase large subunit	head and packaging	5.3e-68	0.943	NA	NA	NA
pKpn	pKpn_pers_HB787_RS28080	HB787_RS28080	0.975	0.76	159.7	1	GENOMAD.225515.VP	NA	0.932	3.753e-37	133	phrog_6145	MIT family metal ion transporter	moron, auxiliary metabolic gene and host takeover	2.5e-49	1	NA	NA	NA
pKpn	pKpn_pers_HB787_RS28240	HB787_RS28240	0.978	0.481	1342.4	1.1	GENOMAD.176906.VP	rad50	0.162	1.405e-17	90	phrog_77	SbcC-like subunit of palindrome specific endonuclease	DNA, RNA and nucleotide metabolism	1.1e-161	0.659	NA	NA	NA
pKpn	pKpn_pers_HB788_RS28030	HB788_RS28030	0.987	0.987	122.8	1	GENOMAD.195074.VP	NA	0.627	4.171e-14	66	phrog_1470	TciB-like inhibition of cell division or resistance to colicin	moron, auxiliary metabolic gene and host takeover	1.3e-25	0.944	NA	NA	NA
pKpn	pKpn_pers_HB789_RS28300	HB789_RS28300	0.974	0.974	627.5	1	GENOMAD.222269.VP	NA	0.715	1.318e-125	400	NA	NA	NA	NA	NA	NA	NA	NA
pKpn	pKpn_pers_HB789_RS28485	HB789_RS28485	0.977	0.977	1703	1	GENOMAD.222762.VP	Cobalamin biosynthesis protein CobT	0.155	3.61e-13	76	phrog_5298	cobalamin biosynthesis protein	moron, auxiliary metabolic gene and host takeover	6.7e-10	0.602	NA	NA	NA
pKpn	pKpn_pers_HCV83_RS28565	HCV83_RS28565	0.978	0.956	214.2	1.1	GENOMAD.223526.VP	NA	0.811	1.182e-48	168	NA	NA	NA	NA	NA	NA	NA	NA
pKpn	pKpn_pers_HCV83_RS28725	HCV83_RS28725	0.968	0.789	445	1.1	GENOMAD.222271.VP	ASC-1 homology (ASCH) domain, predicted RNA-binding domain	0.776	2.358e-105	338	NA	NA	NA	NA	NA	NA	NA	NA
pKpn	pKpn_pers_HCV84_RS27630	HCV84_RS27630	0.968	0.677	468.5	1.1	GENOMAD.218993.PV	cellulose synthase operon protein YhjQ	0.262	1.342e-5	48	NA	NA	NA	NA	NA	parA_big_nr_90_40_FAM16	5.8e-25	0.965
pKpn	pKpn_pers_HV198_RS24405	HV198_RS24405	0.978	0.56	1728.8	1	GENOMAD.029837.VV	DnaA regulatory inactivator Hda	0.22	3.508e-51	199	phrog_84	ribonucleoside-diphosphate reductase large subunit	DNA, RNA and nucleotide metabolism	0	0.79	NA	NA	NA
pKpn	pKpn_pers_HV207_RS28850	HV207_RS28850	0.968	0.413	764.9	1.1	NA	NA	NA	NA	NA	phrog_1	integrase	integration and excision	6.3e-46	0.561	NA	NA	NA
pKpn	pKpn_pers_HV207_RS29030	HV207_RS29030	0.989	0.978	291.2	1	GENOMAD.171056.VP	Bacteriophage minor capsid protein	0.743	1.915e-58	198	NA	NA	NA	NA	NA	NA	NA	NA
pKpn	pKpn_pers_HV225_RS29270	HV225_RS29270	0.989	0.935	436.2	1.1	GENOMAD.136687.VP	Phage-related protein, tail component	0.293	1.652e-21	95	phrog_32	tail assembly protein	tail	2.2e-62	0.99	NA	NA	NA
pKpn	pKpn_pers_HV225_RS29505	HV225_RS29505	0.986	0.986	410.3	1	GENOMAD.225764.VP	NA	0.732	1.288e-80	267	NA	NA	NA	NA	NA	NA	NA	NA
pKpn	pKpn_pers_HV225_RS29590	HV225_RS29590	0.978	0.978	155.6	1	GENOMAD.226399.VP	NA	0.957	1.343e-44	155	NA	NA	NA	NA	NA	NA	NA	NA
pKpn	pKpn_pers_HV240_RS29245	HV240_RS29245	0.989	0.526	618.1	1.1	GENOMAD.180474.VP	NA	0.893	9.393e-67	231	phrog_206	head scaffolding protein	head and packaging	3.3e-53	1.008	NA	NA	NA
pKpn	pKpn_pers_HV292_RS28710	HV292_RS28710	0.987	0.634	407.9	1.1	GENOMAD.217990.VC	RNase HI-related protein, contains viroplasmin and RNaseH domains	0.244	6.005e-5	46	phrog_531	Rnase H	DNA, RNA and nucleotide metabolism	5.4e-80	0.705	NA	NA	NA
pKpn	pKpn_pers_HV292_RS28715	HV292_RS28715	0.968	0.612	167.6	1.1	GENOMAD.223441.VP	NA	0.868	9.533e-42	147	NA	NA	NA	NA	NA	NA	NA	NA
pKpn	pKpn_pers_HV294_RS27520	HV294_RS27520	0.978	0.547	879.1	1	GENOMAD.030715.VV	Ribonucleotide reductase beta subunit, ferritin-like domain	0.267	5.579e-34	138	phrog_86	ribonucleoside diphosphate reductase small subunit	DNA, RNA and nucleotide metabolism	7.299999999999999e-149	0.748	NA	NA	NA
pKpn	pKpn_pers_HV338_RS27445	HV338_RS27445	0.976	0.761	175.2	1.1	GENOMAD.160598.VC	RNA ligase, T4 RnlA family	0.431	2.519e-10	57	NA	NA	NA	NA	NA	NA	NA	NA
pKpn	pKpn_pers_HV338_RS27610	HV338_RS27610	0.979	0.648	342	1	GENOMAD.195646.VP	phage protein, HK97 gp10 family	0.641	9.17e-63	212	phrog_927	tail completion or Neck1 protein	connector	1.8e-75	0.935	NA	NA	NA
pKpn	pKpn_pers_HVX63_RS23370	HVX63_RS23370	0.978	0.444	888.1	1.1	GENOMAD.031026.VV	cobaltochelatase, CobS subunit	0.284	2.815e-10	65	phrog_249	porphyrin biosynthesis	moron, auxiliary metabolic gene and host takeover	4.399999999999999e-108	1.05	NA	NA	NA
pKpn	pKpn_pers_HVX63_RS23610	HVX63_RS23610	0.989	0.369	604	1.1	GENOMAD.208864.VP	Phage capsid-like protein	0.289	4.495e-40	153	phrog_212	major head protein	head and packaging	3.1e-107	0.973	NA	NA	NA
pKpn	pKpn_pers_HVX63_RS23665	HVX63_RS23665	0.979	0.366	1098.2	1.1	GENOMAD.152072.VP	Phage minor tail protein L	0.231	8.012e-36	147	phrog_9690	DNA helicase	DNA, RNA and nucleotide metabolism	1.4e-52	0.892	NA	NA	NA
pKpn	pKpn_pers_HVX64_RS23345	HVX64_RS23345	0.989	0.364	1148.6	1.1	GENOMAD.168006.VP	NA	0.782	1.135e-134	439	phrog_145	portal protein	head and packaging	6.299999999999999e-143	1.012	NA	NA	NA
pKpn	pKpn_pers_I3U23_RS30335	I3U23_RS30335	0.978	0.967	198.3	1	GENOMAD.224680.VP	NA	0.74	4.702e-39	140	NA	NA	NA	NA	NA	NA	NA	NA
pKpn	pKpn_pers_I5M61_RS28820	I5M61_RS28820	0.974	0.974	304.2	1.1	GENOMAD.226846.VP	Toxin YafO, type II toxin-antitoxin system	0.237	5.663e-5	44	NA	NA	NA	NA	NA	NA	NA	NA
pKpn	pKpn_pers_I5M61_RS28825	I5M61_RS28825	0.973	0.973	256.6	1	GENOMAD.223097.VP	Colicin-K immunity	1	7.833e-79	256	NA	NA	NA	NA	NA	NA	NA	NA
pKpn	pKpn_pers_I6K54_RS27260	I6K54_RS27260	0.989	0.909	199.7	1.1	GENOMAD.224610.VP	NA	1	1.442e-59	199	NA	NA	NA	NA	NA	NA	NA	NA
pKpn	pKpn_pers_I6K54_RS27645	I6K54_RS27645	0.986	0.947	8545.7	1.1	GENOMAD.159864.VP	Fibronectin type III protein	0.813	0	1457	phrog_31	central tail fiber J	tail	0	0.867	NA	NA	NA
pKpn	pKpn_pers_IBX29_RS26960	IBX29_RS26960	0.978	0.873	569.2	1.1	GENOMAD.067541.VV	NA	0.249	7.208e-12	68	phrog_170	PhoH-like phosphate starvation-inducible	other	1.6e-87	0.793	NA	NA	NA
pKpn	pKpn_pers_IBX29_RS27130	IBX29_RS27130	0.989	0.492	259.4	1	GENOMAD.221754.VP	NA	0.57	1.998e-12	66	phrog_341	major tail protein	tail	3.5e-26	0.565	NA	NA	NA
pKpn	pKpn_pers_IBX29_RS27170	IBX29_RS27170	0.989	0.365	668.2	1	NA	NA	NA	NA	NA	phrog_886	ABC transporter ATP-binding subunit	moron, auxiliary metabolic gene and host takeover	1.6e-164	0.99	NA	NA	NA
pKpn	pKpn_pers_IBX31_RS27380	IBX31_RS27380	0.974	0.974	362.4	1	NA	NA	NA	NA	NA	phrog_316	dihydrofolate reductase	DNA, RNA and nucleotide metabolism	2.5e-51	0.742	NA	NA	NA
pKpn	pKpn_pers_IOD46_RS27345	IOD46_RS27345	0.976	0.976	192.2	1	NA	NA	NA	NA	NA	phrog_1026	Rz-like spanin	lysis	8.6e-28	0.941	NA	NA	NA
pKpn	pKpn_pers_IOD49_RS26700	IOD49_RS26700	0.973	0.959	330.2	1	GENOMAD.225527.VP	NA	0.283	7.272e-4	41	phrog_890	lipoprotein	other	3.4e-44	1	NA	NA	NA
pKpn	pKpn_pers_IOD49_RS26860	IOD49_RS26860	0.978	0.576	771.2	1.1	GENOMAD.030736.VV	Thymidylate synthase	0.237	5.777e-7	54	phrog_160	thymidylate synthase	DNA, RNA and nucleotide metabolism	1e-96	1.093	NA	NA	NA
pKpn	pKpn_pers_IS495_RS28005	IS495_RS28005	0.989	0.551	493	1.1	GENOMAD.171390.VP	ParB/RepB/Spo0J family partition protein	0.249	6.251e-4	43	phrog_723	ParB-like partition protein	DNA, RNA and nucleotide metabolism	9.1e-85	1.022	NA	NA	NA
pKpn	pKpn_pers_IS495_RS28350	IS495_RS28350	0.977	0.966	250.9	1	GENOMAD.224208.VP	NA	0.83	9.453e-57	192	NA	NA	NA	NA	NA	NA	NA	NA
pKpn	pKpn_pers_JMX52_RS28410	JMX52_RS28410	0.987	0.987	993.7	1.1	GENOMAD.219543.VP	NA	0.212	3.506e-24	110	phrog_1980	tail fiber protein	tail	9.999999999999999e-111	1.031	NA	NA	NA
pKpn	pKpn_pers_JMX52_RS28425	JMX52_RS28425	0.989	0.628	590.7	1.1	GENOMAD.168265.VP	Proteasome lid subunit RPN8/RPN11, contains Jab1/MPN domain metalloenzyme (JAMM) motif	0.342	2.026e-38	147	phrog_2635	tail protein	tail	3.8e-27	1.081	NA	NA	NA
pKpn	pKpn_pers_JMX52_RS28585	JMX52_RS28585	0.978	0.958	323	1.2	GENOMAD.223369.VP	NA	0.915	4.864e-96	308	NA	NA	NA	NA	NA	NA	NA	NA
pKpn	pKpn_pers_JMX52_RS28605	JMX52_RS28605	0.974	0.962	147.6	1	GENOMAD.220640.VP	NA	0.793	2.869e-31	116	NA	NA	NA	NA	NA	NA	NA	NA
pKpn	pKpn_pers_JMX54_RS28090	JMX54_RS28090	0.974	0.974	495.4	1	GENOMAD.182763.VC	Predicted ATPase	0.224	2.962e-8	56	phrog_2107	thymidylate kinase	other	2.7e-12	0.517	NA	NA	NA
pKpn	pKpn_pers_JMX64_RS28730	JMX64_RS28730	0.978	0.978	266.9	1	NA	NA	NA	NA	NA	phrog_4583	transcriptional repressor	transcription regulation	2.8e-4	0.84	NA	NA	NA
pKpn	pKpn_pers_JMX64_RS28900	JMX64_RS28900	0.989	0.367	513.4	1.1	GENOMAD.152072.VP	Phage minor tail protein L	0.549	8.183e-83	274	phrog_4199	minor tail protein	tail	1.5e-48	0.688	NA	NA	NA
pKpn	pKpn_pers_JMX64_RS29060	JMX64_RS29060	0.978	0.917	307.7	1	GENOMAD.219752.VP	NA	0.505	2.28e-34	129	NA	NA	NA	NA	NA	NA	NA	NA
pKpn	pKpn_pers_JMX76_RS28740	JMX76_RS28740	1	1	466.4	1	GENOMAD.226118.VP	NA	0.765	1.231e-99	321	NA	NA	NA	NA	NA	NA	NA	NA
pKpn	pKpn_pers_JMX76_RS28910	JMX76_RS28910	0.989	0.377	222.4	1	GENOMAD.212145.VP	NA	0.865	1.576e-56	191	NA	NA	NA	NA	NA	NA	NA	NA
pKpn	pKpn_pers_JMX78_RS28635	JMX78_RS28635	0.968	0.407	153	1.1	GENOMAD.220953.VP	NA	0.46	4.798e-14	67	NA	NA	NA	NA	NA	NA	NA	NA
pKpn	pKpn_pers_JMX78_RS29135	JMX78_RS29135	0.965	0.573	421.2	1.1	NA	NA	NA	NA	NA	phrog_111	DNA methyltransferase	other	1.3e-62	0.565	NA	NA	NA
pKpn	pKpn_pers_SMKP03_RS25145	SMKP03_RS25145	0.989	0.472	473	1	GENOMAD.178051.VP	ParB/RepB/Spo0J family partition protein	0.27	7.756e-15	76	phrog_930	ParB-like partition protein	DNA, RNA and nucleotide metabolism	4.5e-115	0.987	NA	NA	NA
pKpn	pKpn_pers_WM86_RS26460	WM86_RS26460	0.989	0.989	353.7	1	GENOMAD.223217.VP	NA	0.849	2.463e-84	274	NA	NA	NA	NA	NA	NA	NA	NA
pMT1	pMT1_pers_A1122_RS21205	A1122_RS21205	1	1	503.2	1	GENOMAD.178051.VP	ParB/RepB/Spo0J family partition protein	0.237	7.91e-13	70	phrog_930	ParB-like partition protein	DNA, RNA and nucleotide metabolism	1.5e-118	0.996	NA	NA	NA
pMT1	pMT1_pers_A1122_RS21210	A1122_RS21210	1	0.385	504.8	1	GENOMAD.171390.VP	ParB/RepB/Spo0J family partition protein	0.263	3.227e-5	47	phrog_723	ParB-like partition protein	DNA, RNA and nucleotide metabolism	4.7e-89	1.022	parB_big_nr_90_40_FAM16	1.9e-5	0.593
pMT1	pMT1_pers_AK38_RS00465	AK38_RS00465	1	0.408	180.4	1	GENOMAD.192874.VP	NA	0.649	6.9e-27	104	NA	NA	NA	NA	NA	NA	NA	NA
pMT1	pMT1_pers_BAY22_RS22030	BAY22_RS22030	1	0.452	204.5	1	GENOMAD.224680.VP	NA	0.792	3.12e-43	152	NA	NA	NA	NA	NA	NA	NA	NA
pMT1	pMT1_pers_BZ15_RS00930	BZ15_RS00930	1	0.525	260.1	1	GENOMAD.142618.VP	Phage-related protein	0.418	1.758e-18	82	NA	NA	NA	NA	NA	NA	NA	NA
pMT1	pMT1_pers_CH46_RS00975	CH46_RS00975	1	1	364.2	1	NA	NA	NA	NA	NA	phrog_2577	transposase	integration and excision	4.7e-51	0.97	NA	NA	NA
pMT1	pMT1_pers_CH55_RS00190	CH55_RS00190	1	1	594.2	1	GENOMAD.224162.VP	NA	0.801	2.672e-129	409	NA	NA	NA	NA	NA	NA	NA	NA
pMT1	pMT1_pers_CH55_RS00195	CH55_RS00195	1	0.398	417.3	1	GENOMAD.153294.VP	Holliday junction resolvasome RuvABC endonuclease subunit	0.676	2.106e-77	256	phrog_159	RuvC-like Holliday junction resolvase	DNA, RNA and nucleotide metabolism	5.3e-62	0.561	NA	NA	NA
pMT1	pMT1_pers_CH55_RS00365	CH55_RS00365	1	1	3689.4	1	GENOMAD.159864.VP	Fibronectin type III protein	0.505	2.807e-107	386	phrog_31	central tail fiber J	tail	0	0.95	NA	NA	NA
pMT1	pMT1_pers_CH56_RS00030	CH56_RS00030	1	1	564.2	1	GENOMAD.152072.VP	Phage minor tail protein L	0.553	1.66e-83	276	phrog_4199	minor tail protein	tail	1.1e-50	0.688	NA	NA	NA
pMT1	pMT1_pers_CH56_RS00225	CH56_RS00225	1	1	1122	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
pMT1	pMT1_pers_CH56_RS00230	CH56_RS00230	1	1	166.4	1	GENOMAD.062764.PP	NA	0.999	3.568e-37	133	NA	NA	NA	NA	NA	NA	NA	NA
pMT1	pMT1_pers_CH56_RS00235	CH56_RS00235	0.394	0.394	548.2	1	GENOMAD.160402.VP	Adenine-specific DNA methylase	0.238	3.917e-13	71	phrog_6025	DNA methyltransferase	other	6.6e-35	0.547	NA	NA	NA
pMT1	pMT1_pers_CH57_RS21675	CH57_RS21675	1	0.424	204.1	1	GENOMAD.221585.VP	DNA-binding transcriptional regulator, PadR family	0.77	1.737e-39	141	NA	NA	NA	NA	NA	NA	NA	NA
pMT1	pMT1_pers_CH57_RS21680	CH57_RS21680	1	0.656	714.4	1	NA	NA	NA	NA	NA	phrog_886	ABC transporter ATP-binding subunit	moron, auxiliary metabolic gene and host takeover	7.899999999999999e-168	1	NA	NA	NA
pMT1	pMT1_pers_CH57_RS21860	CH57_RS21860	1	0.477	747.1	1	GENOMAD.218988.VP	T4 RNase H, C terminal	0.976	1.229e-80	272	phrog_107	exonuclease	DNA, RNA and nucleotide metabolism	8.399999999999999e-70	0.576	NA	NA	NA
pMT1	pMT1_pers_CH58_RS00240	CH58_RS00240	1	1	182	1	GENOMAD.069161.PP	NA	0.836	2.806e-35	128	NA	NA	NA	NA	NA	NA	NA	NA
pMT1	pMT1_pers_CH59_RS00135	CH59_RS00135	1	0.316	611.4	1	GENOMAD.180474.VP	NA	0.952	5.385e-73	248	phrog_206	head scaffolding protein	head and packaging	6.1e-48	0.928	NA	NA	NA
pMT1	pMT1_pers_CH59_RS00310	CH59_RS00310	1	0.439	307.7	1	GENOMAD.091934.VV	NA	0.73	2.3e-59	201	NA	NA	NA	NA	NA	NA	NA	NA
pMT1	pMT1_pers_CH59_RS00530	CH59_RS00530	1	1	2037	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
pMT1	pMT1_pers_CH59_RS00535	CH59_RS00535	1	1	381.6	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
pMT1	pMT1_pers_CH60_RS00120	CH60_RS00120	1	1	656.9	1	GENOMAD.179799.VP	NA	0.707	7.123e-124	395	NA	NA	NA	NA	NA	NA	NA	NA
pMT1	pMT1_pers_CH60_RS00305	CH60_RS00305	1	1	836.6	1	GENOMAD.132605.PV	TrfA protein	0.491	8.111e-86	289	phrog_775	replication helicase	DNA, RNA and nucleotide metabolism	2.7e-150	0.986	Rep_3	2.3e-39	1.167
pMT1	pMT1_pers_CH61_RS00465	CH61_RS00465	1	1	1494.1	1	GENOMAD.176906.VP	rad50	0.159	4.787e-16	85	phrog_77	SbcC-like subunit of palindrome specific endonuclease	DNA, RNA and nucleotide metabolism	1.7e-171	0.659	NA	NA	NA
pMT1	pMT1_pers_CH61_RS00670	CH61_RS00670	1	0.385	307.4	1	GENOMAD.132229.VP	Recombination, repair and ssDNA binding protein UvsY	0.691	7.087e-59	200	phrog_231	UvsY-like recombination mediator	DNA, RNA and nucleotide metabolism	4.7e-6	0.824	NA	NA	NA
